"identidade","claw_type","carapace_color","autotomy","autotomy_latency","autotomy_trial","autotomy_exp_type","force1","force2","force3","max_force","weight_mg","weight_g","data","body_region","size"
"ll_01","Brachychelous","Bright","no",NA,NA,"by_time",1.83,0.01,1.88,1.88,0.0887,88.7,"14iv2022","Carapace",10.72
"ll_01","Brachychelous","Bright","no",NA,NA,"by_time",1.83,0.01,1.88,1.88,0.0887,88.7,"14iv2022","Claw",21.56
"ll_02","Leptochelous","Bright","no",NA,NA,"by_time",0.24,0,0.01,0.24,0.0554,55.4,"14iv2022","Carapace",9.52
"ll_02","Leptochelous","Bright","no",NA,NA,"by_time",0.24,0,0.01,0.24,0.0554,55.4,"14iv2022","Claw",18.78
"ll_03","Brachychelous","Bright","yes",26,NA,"by_time",2.1,1.16,4.81,4.81,0.0476,47.6,"14iv2022","Carapace",9.12
"ll_03","Brachychelous","Bright","yes",26,NA,"by_time",2.1,1.16,4.81,4.81,0.0476,47.6,"14iv2022","Claw",17.18
"ll_04","Brachychelous","Bright","yes",13,NA,"by_time",3.71,1.55,0.1,3.71,0.0598,59.8,"14iv2022","Carapace",9.19
"ll_04","Brachychelous","Bright","yes",13,NA,"by_time",3.71,1.55,0.1,3.71,0.0598,59.8,"14iv2022","Claw",17.28
"ll_05","Brachychelous","Bright","yes",26,NA,"by_time",0.1,0.1,5.48,5.48,0.0541,54.1,"14iv2022","Carapace",9.66
"ll_05","Brachychelous","Bright","yes",26,NA,"by_time",0.1,0.1,5.48,5.48,0.0541,54.1,"14iv2022","Claw",17.41
"ll_06","Brachychelous","Bright","yes",38,NA,"by_time",0.8,0.6,0.01,0.8,0.0303,30.3,"14iv2022","Carapace",7.71
"ll_06","Brachychelous","Bright","yes",38,NA,"by_time",0.8,0.6,0.01,0.8,0.0303,30.3,"14iv2022","Claw",13.02
"ll_07","Brachychelous","Bright","yes",9,NA,"by_time",0.05,6.22,0.05,6.22,0.0459,45.9,"14iv2022","Carapace",8.48
"ll_07","Brachychelous","Bright","yes",9,NA,"by_time",0.05,6.22,0.05,6.22,0.0459,45.9,"14iv2022","Claw",15.99
"ll_08","Brachychelous","Bright","yes",22,NA,"by_time",2.08,1.56,1.25,2.08,0.0345,34.5,"14iv2022","Carapace",7.84
"ll_08","Brachychelous","Bright","yes",22,NA,"by_time",2.08,1.56,1.25,2.08,0.0345,34.5,"14iv2022","Claw",15.23
"ll_09","Brachychelous","Bright","no",NA,NA,"by_time",1.77,0.3,0.27,1.77,0.042,42,"14iv2022","Carapace",9.23
"ll_09","Brachychelous","Bright","no",NA,NA,"by_time",1.77,0.3,0.27,1.77,0.042,42,"14iv2022","Claw",16.07
"ll_10","Brachychelous","Bright","yes",0,NA,"by_time",9.38,0,0,9.38,0.0634,63.4,"14iv2022","Carapace",9.05
"ll_10","Brachychelous","Bright","yes",0,NA,"by_time",9.38,0,0,9.38,0.0634,63.4,"14iv2022","Claw",18.1
"ll_11","Brachychelous","Dark","yes",22,NA,"by_time",0.1,0.17,0.25,0.25,0.0607,60.7,"14iv2022","Carapace",9.15
"ll_11","Brachychelous","Dark","yes",22,NA,"by_time",0.1,0.17,0.25,0.25,0.0607,60.7,"14iv2022","Claw",19.09
"ll_12","Brachychelous","Dark","yes",9,NA,"by_time",0.75,0.72,0.04,0.75,0.0313,31.3,"14iv2022","Carapace",8.67
"ll_12","Brachychelous","Dark","yes",9,NA,"by_time",0.75,0.72,0.04,0.75,0.0313,31.3,"14iv2022","Claw",15.68
"ll_13","Brachychelous","Dark","no",NA,NA,"by_time",3.74,0.14,2.72,3.74,0.0782,78.2,"14iv2022","Carapace",10.09
"ll_13","Brachychelous","Dark","no",NA,NA,"by_time",3.74,0.14,2.72,3.74,0.0782,78.2,"14iv2022","Claw",19.07
"ll_14","Brachychelous","Dark","yes",27,NA,"by_time",0.57,0.67,0.5,0.67,0.0529,52.9,"14iv2022","Carapace",9.89
"ll_14","Brachychelous","Dark","yes",27,NA,"by_time",0.57,0.67,0.5,0.67,0.0529,52.9,"14iv2022","Claw",20.53
"ll_15","Brachychelous","Dark","no",NA,NA,"by_time",2.91,3.67,1.19,3.67,0.0769,76.9,"14iv2022","Carapace",9.91
"ll_15","Brachychelous","Dark","no",NA,NA,"by_time",2.91,3.67,1.19,3.67,0.0769,76.9,"14iv2022","Claw",19.88
"ll_16","Brachychelous","Dark","yes",13,NA,"by_time",1.92,1.92,0.02,1.92,0.0772,77.2,"14iv2022","Carapace",10.02
"ll_16","Brachychelous","Dark","yes",13,NA,"by_time",1.92,1.92,0.02,1.92,0.0772,77.2,"14iv2022","Claw",20.4
"ll_17","Leptochelous","Dark","yes",12,NA,"by_time",0.02,0.05,2.26,2.26,0.0439,43.9,"14iv2022","Carapace",10.26
"ll_17","Leptochelous","Dark","yes",12,NA,"by_time",0.02,0.05,2.26,2.26,0.0439,43.9,"14iv2022","Claw",20.17
"ll_18","Leptochelous","Dark","yes",8,NA,"by_time",0.01,1.17,0.28,1.17,0.0388,38.8,"14iv2022","Carapace",9.59
"ll_18","Leptochelous","Dark","yes",8,NA,"by_time",0.01,1.17,0.28,1.17,0.0388,38.8,"14iv2022","Claw",17.53
"ll_19","Brachychelous","Dark","yes",12,NA,"by_time",0.02,0.04,0.07,0.07,0.0179,17.9,"14iv2022","Carapace",8.26
