"ID","u","s","m","l","luminance","chromatic_contrast","achromatic_contrast","vismodel","iluminante","substrato","saturation","mean_brightness","hue","H4","body_region","claw_type","carapace_type","identidade","carapace_color","autotomy","autotomy_latency","autotomy_trial","autotomy_exp_type","force1","force2","force3","max_force","weight_mg","data","size"
"X001_ll_br_c_brac_claro",0.206989536141694,0.36927830022485,0.373643992050895,0.369861040089744,0.370737330783281,2.9092119073838,10.2648669,"Peafowl","D65","substrato_barradorio",1.19318810499164,34.937527885269,465,1.60967489984986,"Carapace","Brachychelous","Bright","ll_01","Bright","no",NA,NA,"by_time",1.83,0.01,1.88,1.88,88.7,"14iv2022",10.72
"X001_ll_br_q_brac_claro",0.142391271896752,0.259555635992903,0.317285975155838,0.30946920005209,0.30698161246898,1.59449592018469,9.1211945,"Peafowl","D65","substrato_barradorio",0.631897540125983,32.0894631734555,338,0.378626498333427,"Claw","Brachychelous","Bright","ll_01","Bright","no",NA,NA,"by_time",1.83,0.01,1.88,1.88,88.7,"14iv2022",21.56
"X002_ll_br_c_lep_claro",0.0888867677612684,0.183495705520372,0.216531470033307,0.230686467215363,0.215937476976323,1.09347214720297,6.9890796,"Peafowl","D65","substrato_barradorio",1.47882235757494,17.7794549987955,648,1.28540140557233,"Carapace","Leptochelous","Bright","ll_02","Bright","no",NA,NA,"by_time",0.24,0,0.01,0.24,55.4,"14iv2022",9.52
"X002_ll_br_q_lep_claro",0.0803376870319312,0.221738806847303,0.358568232443029,0.355934612925557,0.341239948780563,3.97258568218366,9.7623947,"Peafowl","D65","substrato_barradorio",1.78696253172297,33.4333581501177,323,-0.271104761899264,"Claw","Leptochelous","Bright","ll_02","Bright","no",NA,NA,"by_time",0.24,0,0.01,0.24,55.4,"14iv2022",18.78
"X003_ll_br_c_brac_claro",0.118712214856049,0.273875804669702,0.343480178019829,0.355433061817508,0.336302106893669,1.63327403758274,9.6740553,"Peafowl","D65","substrato_barradorio",1.4854882856439,27.0586307585473,636,1.19073974208908,"Carapace","Brachychelous","Bright","ll_03","Bright","yes",26,NA,"by_time",2.1,1.16,4.81,4.81,47.6,"14iv2022",9.12
"X003_ll_br_q_brac_claro",0.172697700731458,0.312156203691926,0.366176626414526,0.333526246664023,0.348348481080784,2.42069813151481,9.8873491,"Peafowl","D65","substrato_barradorio",0.986131524426415,37.6975332023543,339,-1.9978212733732,"Claw","Brachychelous","Bright","ll_03","Bright","yes",26,NA,"by_time",2.1,1.16,4.81,4.81,47.6,"14iv2022",17.18
"X004_ll_br_c_brac_claro",0.0820871157351638,0.187464872842271,0.249771676690728,0.25343956755981,0.241353726948855,1.79449347855195,7.6634717,"Peafowl","D65","substrato_barradorio",1.53079461249689,18.787561646934,657,1.18269258582326,"Carapace","Brachychelous","Bright","ll_04","Bright","yes",13,NA,"by_time",3.71,1.55,0.1,3.71,59.8,"14iv2022",9.19
"X004_ll_br_q_brac_claro",0.0797066040316682,0.166511371822013,0.221306411830016,0.209779836669604,0.210702075240203,1.69801351287605,6.8403297,"Peafowl","D65","substrato_barradorio",1.45230518356217,21.5585441079205,340,-0.522414808511076,"Claw","Brachychelous","Bright","ll_04","Bright","yes",13,NA,"by_time",3.71,1.55,0.1,3.71,59.8,"14iv2022",17.28
"X005_ll_br_c_brac_claro",0.0720332530760858,0.151535825814856,0.192363963185327,0.211352535046576,0.192212721534248,1.01918565499009,6.2837086,"Peafowl","D65","substrato_barradorio",1.59313877229899,15.4066766409921,656,1.16795183177033,"Carapace","Brachychelous","Bright","ll_05","Bright","yes",26,NA,"by_time",0.1,0.1,5.48,5.48,54.1,"14iv2022",9.66
"X005_ll_br_q_brac_claro",0.133693090816029,0.285933523491441,0.357882548833629,0.324084243557476,0.33761924707664,2.11727158362315,9.6977455,"Peafowl","D65","substrato_barradorio",1.27733860785796,35.6370618774727,339,-1.00188072740902,"Claw","Brachychelous","Bright","ll_05","Bright","yes",26,NA,"by_time",0.1,0.1,5.48,5.48,54.1,"14iv2022",17.41
