"ID","Sex","carapace_color","claw_lenght","quela_v","carapace_size","cara_v","maturation_stage","residencia","data"
"M1","Male","White",17.8,"5.2",9.8,5.8,"RU",NA,2023-05-20
"M2","Male","White",NA,NA,9.3,5.7,"ED",NA,2023-05-20
"M3","Male","White",16.35,"4.6",8.7,5.4,"ED",NA,2023-05-20
"M4","Male","White",16.25,"5.05",8.8,5.7,"DE",NA,2023-05-20
"M5","Male","White",18,"5.4",9.2,5.6,"DE",NA,2023-05-20
"M6","Male","White",17.7,"5.3",9.6,5.95,"DE",NA,2023-05-20
"M7","Male","Dark",19.65,"5.45",10.05,6.7,"ED",NA,2023-05-20
"M8","Male","Dark",20.2,"5.4",10.6,6.4,"ED",NA,2023-05-20
"M9","Male","Dark",19.5,"4.7",9.4,5.6,"ED",NA,2023-05-20
"M10","Male","Dark",20.8,"5.1",10.2,6.6,"ED",NA,2023-05-20
"M11","Male","Dark",20.9,"5",9.55,5.95,"ED",NA,2023-05-20
"M12","Male","Dark",16.5,"5",9.2,5.8,"ED",NA,2023-05-20
"M19","Male","White",18.55,"5.1",9.2,6,"DE",NA,2023-05-21
"M20","Male","White",21.1,"5.4",11.1,7,"DE",NA,2023-05-21
"M21","Male","White",18.2,"4.8",9.1,5.9,"DE",NA,2023-05-21
"M22","Male","White",18.8,"5.7",9.8,5.8,"RU",NA,2023-05-21
"M23","Male","White",16.3,"5",9,5.5,"DE",NA,2023-05-21
"M24","Male","Dark",14.75,"4.4",8.8,5.5,"RU",NA,2023-05-21
"M25","Male","Dark",19.5,"4.4",10.1,5.9,"ED",NA,2023-05-21
"M26","Male","Dark",19.3,"5.2",9.8,5.7,"ED",NA,2023-05-21
"M27","Male","Dark",22,"5.9",11,6.35,"RU",NA,2023-05-21
"M28","Male","Dark",16,"4.9",9.3,5.7,"DE",NA,2023-05-21
"M34","Male","White",15.76,"4.80",8.77,5.79,"DE",NA,2023-06-05
"M35","Male","White",17.22,"5.25",9.23,5,"DE",NA,2023-06-05
"M36","Male","White",16.3,"4.43",8.06,4.88,"DE",NA,2023-06-05
"M37","Male","White",17.86,"5.11",9.21,5.4,"DE",NA,2023-06-05
"M38","Male","White",17.63,"4.72",8.88,5.35,"ED",NA,2023-06-05
"M39","Male","Dark",19.94,"5.19",10.72,6.33,"DE",NA,2023-06-05
"M40","Male","Dark",17.6,"5.03",9.33,5.82,"RU",NA,2023-06-05
"M41","Male","Dark",17.82,"4.60",9.29,5.49,"ED",NA,2023-06-05
"M42","Male","Dark",19.91,"5.05",10.05,5.87,"DE",NA,2023-06-05
"M43","Male","Dark",18.06,"4.79",9.25,5.8,"ED",NA,2023-06-05
"M49","Male","White",16.38,"4.94",8.89,5.5,"DE",NA,2023-06-06
"M50","Male","White",21.96,"5.25",9.28,5.27,"DE",NA,2023-06-06
"M51","Male","White",16.62,"4.66",8.29,4.59,"DE",NA,2023-06-06
"M52","Male","White",15.52,"4.62",7.72,4.65,"DE",NA,2023-06-06
"M53","Male","White",18.3,"5.09",8.56,5.16,"DE",NA,2023-06-06
"M54","Male","Dark",17.91,"5.20",8.36,5.13,"DE",NA,2023-06-06
"M55","Male","Dark",18.56,"4.85",9.03,5.48,"ED",NA,2023-06-06
"M56","Male","Dark",19.4,"5.33",9,5.05,"ED",NA,2023-06-06
"M57","Male","Dark",16.08,"4.80",8.09,4.54,"ED",NA,2023-06-06
"M58","Male","Dark",19.22,"5.23",8.78,5.54,"ED",NA,2023-06-06
"M64","Male","White",20.04,"5.6",9.05,5.83,"DE",NA,2023-06-19
"M65","Male","White",18.52,"4.43",8.11,4.71,"DE",NA,2023-06-19
"M66","Male","White",17.55,"4.67",7.42,7.74,"ED",NA,2023-06-19
"M67","Male","White",17.75,"4.82",8.84,4.94,"DE",NA,2023-06-19
"M68","Male","White",23.58,"5.35",9.95,6.14,"DE",NA,2023-06-19
"M69","Male","Dark",15.19,"4.1900000000000004",7.62,4.39,"DE",NA,2023-06-19
"M70","Male","Dark",17.79,"5.38",8.83,5.32,"DE",NA,2023-06-19
"M71","Male","Dark",12.75,"4.26",7.52,4.89,"DE",NA,2023-06-19
"M72","Male","Dark",16.72,"4.7300000000000004",8.23,4.75,"ED",NA,2023-06-19
"M73","Male","Dark",19.42,"5.42",9.26,5.62,"ED",NA,2023-06-19
"M83","Male","White",18.2,"5.18",9.29,5.09,"ED",NA,2023-06-20
"M84","Male","White",16.24,"5.03",8.89,5.41,"DE",NA,2023-06-20
"M85","Male","White",18.39,"5.01",9.32,5.34,"DE",NA,2023-06-20
"M86","Male","White",19.02,"5.33",8.94,5.2,"DE",NA,2023-06-20
"M87","Male","Dark",18.76,"5.71",10.19,5.66,"DE",NA,2023-06-20
"M88","Male","Dark",20.1,"4.93",9.83,5.32,"RU",NA,2023-06-20
"M89","Male","Dark",19.53,"5.0199999999999996",9.58,5.56,"RU",NA,2023-06-20
