"ID","sexo","cor","quela_h","quela_v","cara_h","cara_v","maturacao","data"
"M1","Male","b","17.8","5.2","9.8","5.8","RU",2023-05-20
"M2","Male","b",NA,NA,"9.3","5.7","ED",2023-05-20
"M3","Male","b","16.35","4.6","8.7","5.4","ED",2023-05-20
"M4","Male","b","16.25","5.05","8.8","5.7","DE",2023-05-20
"M5","Male","b","18.0","5.4","9.2","5.6","DE",2023-05-20
"M6","Male","b","17.7","5.3","9.6","5.95","DE",2023-05-20
"M7","Male","e","19.65","5.45","10.05","6.7","ED",2023-05-20
"M8","Male","e","20.2","5.4","10.6","6.4","ED",2023-05-20
"M9","Male","e","19.5","4.7","9.4","5.6","ED",2023-05-20
"M10","Male","e","20.8","5.1","10.2","6.6","ED",2023-05-20
"M11","Male","e","20.9","5","9.55","5.95","ED",2023-05-20
"M12","Male","e","16.5","5","9.2","5.8","ED",2023-05-20
"M13","Male","a","16.4","4.6","9.9","6.2","ED",2023-05-20
"M14","Male","a","18.6","5.25","9.7","6","ED",2023-05-20
"M15","Male","a","20.8","5.3","10.3","6.4","ED",2023-05-20
"M16","Male","a","21.4","5.9","10.7","6.1","ED",2023-05-20
"M17","Male","a","18.7","5.4","10","6.2","ED",2023-05-20
"M18","Male","a","18.2","5.1","9.7","5.75","ED",2023-05-20
"M19","Male","b","18.55","5.1","9.2","6","DE",2023-05-21
"M20","Male","b","21.1","5.4","11.1","7","DE",2023-05-21
"M21","Male","b","18.2","4.8","9.1","5.9","DE",2023-05-21
"M22","Male","b","18.8","5.7","9.8","5.8","RU",2023-05-21
"M23","Male","b","16.3","5","9","5.5","DE",2023-05-21
"M24","Male","e","14.75","4.4","8.8","5.5","RU",2023-05-21
"M25","Male","e","19.5","4.4","10.1","5.9","ED",2023-05-21
"M26","Male","e","19.3","5.2","9.8","5.7","ED",2023-05-21
"M27","Male","e","22","5.9","11","6.35","RU",2023-05-21
"M28","Male","e","16","4.9","9.3","5.7","DE",2023-05-21
"M29","Male","a","18.7","5.2","10.1","6","ED",2023-05-21
"M30","Male","a","17.7","4.9","9.5","6","RU",2023-05-21
"M31","Male","a","17.7","4.8","9.3","5.7","ED",2023-05-21
"M32","Male","a","19.7","6.75","10.8","6.6","ED",2023-05-21
"M33","Male","a","19.1","5.1","9.8","5.9","RU",2023-05-21
"M34","Male","b","15.76","4.80","8.77","5.79","DE",2023-06-05
