"ID","claw_size","carapace_size","claw_type","carapace_color","autotomy","autotomy_latency","autotomy_trial","autotomy_exp_type","force1","force2","force3","max_force","weight_mg","weight_g","data"
"ll_01",21.56,10.72,"brachy","b","no",NA,NA,"by_time",1.83,0.01,1.88,1.88,0.0887,88.7,"14iv2022"
"ll_02",18.78,9.52,"lepto","b","no",NA,NA,"by_time",0.24,0,0.01,0.24,0.0554,55.4,"14iv2022"
"ll_03",17.18,9.12,"brachy","b","yes",26,NA,"by_time",2.1,1.16,4.81,4.81,0.0476,47.6,"14iv2022"
"ll_04",17.28,9.19,"brachy","b","yes",13,NA,"by_time",3.71,1.55,0.1,3.71,0.0598,59.8,"14iv2022"
"ll_05",17.41,9.66,"brachy","b","yes",26,NA,"by_time",0.1,0.1,5.48,5.48,0.0541,54.1,"14iv2022"
"ll_06",13.02,7.71,"brachy","b","yes",38,NA,"by_time",0.8,0.6,0.01,0.8,0.0303,30.3,"14iv2022"
"ll_07",15.99,8.48,"brachy","b","yes",9,NA,"by_time",0.05,6.22,0.05,6.22,0.0459,45.9,"14iv2022"
"ll_08",15.23,7.84,"brachy","b","yes",22,NA,"by_time",2.08,1.56,1.25,2.08,0.0345,34.5,"14iv2022"
"ll_09",16.07,9.23,"brachy","b","no",NA,NA,"by_time",1.77,0.3,0.27,1.77,0.042,42,"14iv2022"
"ll_10",18.1,9.05,"brachy","b","yes",0,NA,"by_time",9.38,0,0,9.38,0.0634,63.4,"14iv2022"
"ll_11",19.09,9.15,"brachy","e","yes",22,NA,"by_time",0.1,0.17,0.25,0.25,0.0607,60.7,"14iv2022"
"ll_12",15.68,8.67,"brachy","e","yes",9,NA,"by_time",0.75,0.72,0.04,0.75,0.0313,31.3,"14iv2022"
"ll_13",19.07,10.09,"brachy","e","no",NA,NA,"by_time",3.74,0.14,2.72,3.74,0.0782,78.2,"14iv2022"
"ll_14",20.53,9.89,"brachy","e","yes",27,NA,"by_time",0.57,0.67,0.5,0.67,0.0529,52.9,"14iv2022"
"ll_15",19.88,9.91,"brachy","e","no",NA,NA,"by_time",2.91,3.67,1.19,3.67,0.0769,76.9,"14iv2022"
"ll_16",20.4,10.02,"brachy","e","yes",13,NA,"by_time",1.92,1.92,0.02,1.92,0.0772,77.2,"14iv2022"
"ll_17",20.17,10.26,"lepto","e","yes",12,NA,"by_time",0.02,0.05,2.26,2.26,0.0439,43.9,"14iv2022"
"ll_18",17.53,9.59,"lepto","e","yes",8,NA,"by_time",0.01,1.17,0.28,1.17,0.0388,38.8,"14iv2022"
"ll_19",13.24,8.26,"brachy","e","yes",12,NA,"by_time",0.02,0.04,0.07,0.07,0.0179,17.9,"14iv2022"
"ll_20",13.7,8.1,"brachy","e","yes",60,NA,"by_time",0.84,2.02,2.22,2.22,0.0336,33.6,"14iv2022"
"ll_21",18.85,8.81,"brachy","b","yes",60,NA,"by_time",3.05,2.52,4.78,4.78,0.0613,61.3,"14iv2022"
"ll_22",16.99,10.46,"lepto","e","yes",8,NA,"by_time",3.62,0.21,1.45,3.62,0.0442,44.2,"14iv2022"
"ll_23",13.18,8.39,"brachy","b","yes",13,NA,"by_time",4.34,0.46,0.05,4.34,0.0314,31.4,"14iv2022"
"ll_24",15.9,8.68,"brachy","e","yes",2,NA,"by_time",0.88,0.83,0.61,0.88,0.0343,34.3,"14iv2022"
"ll_25",11.37,7.87,"brachy","b","yes",21,NA,"by_time",0.15,0.07,0.04,0.15,0.024,24,"14iv2022"
"ll_26",10.76,7.28,"lepto","e","yes",8,NA,"by_time",0.48,0.15,0.04,0.48,0.0162,16.2,"14iv2022"
