"ID","color","choice","no_choice","experimento","date"
1,"white",1,1,"pilot",2024-10-18
1,"dark",0,1,"pilot",2024-10-18
2,"white",0,1,"pilot",2024-10-18
2,"dark",1,1,"pilot",2024-10-18
3,"white",1,0,"pilot",2024-10-18
3,"dark",0,0,"pilot",2024-10-18
4,"white",1,0,"pilot",2024-10-18
4,"dark",0,0,"pilot",2024-10-18
5,"white",0,1,"pilot",2024-10-18
5,"dark",1,1,"pilot",2024-10-18
6,"white",1,1,"pilot",2024-10-18
6,"dark",0,1,"pilot",2024-10-18
7,"white",1,0,"pilot",2024-10-18
7,"dark",0,0,"pilot",2024-10-18
8,"white",1,2,"pilot",2024-10-18
8,"dark",0,2,"pilot",2024-10-18
9,"white",1,0,"pilot",2024-10-18
9,"dark",0,0,"pilot",2024-10-18
10,"white",1,1,"pilot",2024-10-18
10,"dark",0,1,"pilot",2024-10-18
11,"white",0,0,"pilot",2024-10-18
11,"dark",1,0,"pilot",2024-10-18
12,"white",1,1,"pilot",2024-10-18
12,"dark",0,1,"pilot",2024-10-18
13,"white",1,0,"pilot",2024-10-18
13,"dark",0,0,"pilot",2024-10-18
14,"white",1,0,"pilot",2024-10-18
14,"dark",0,0,"pilot",2024-10-18
15,"white",0,1,"pilot",2024-10-18
15,"dark",1,1,"pilot",2024-10-18
16,"white",1,1,"pilot",2024-10-18
16,"dark",0,1,"pilot",2024-10-18
17,"white",1,3,"oficial",2024-10-19
17,"dark",0,3,"oficial",2024-10-19
18,"white",1,5,"oficial",2024-10-19
18,"dark",0,5,"oficial",2024-10-19
19,"white",1,1,"oficial",2024-10-19
19,"dark",0,0,"oficial",2024-10-19
20,"white",1,0,"oficial",2024-10-19
20,"dark",0,0,"oficial",2024-10-19
21,"white",0,0,"oficial",2024-10-19
21,"dark",1,0,"oficial",2024-10-19
22,"white",0,0,"oficial",2024-10-19
22,"dark",1,0,"oficial",2024-10-19
23,"white",1,0,"oficial",2024-10-19
23,"dark",0,0,"oficial",2024-10-19
24,"white",0,0,"oficial",2024-10-19
24,"dark",1,0,"oficial",2024-10-19
25,"white",1,0,"oficial",2024-10-19
25,"dark",0,0,"oficial",2024-10-19
26,"white",1,2,"oficial",2024-10-19
26,"dark",0,2,"oficial",2024-10-19
27,"white",0,0,"oficial",2024-10-19
27,"dark",1,0,"oficial",2024-10-19
28,"white",1,0,"oficial",2024-10-19
28,"dark",0,0,"oficial",2024-10-19
29,"white",0,0,"oficial",2024-10-19
29,"dark",1,0,"oficial",2024-10-19
30,"white",1,2,"oficial",2024-10-19
30,"dark",0,2,"oficial",2024-10-19
31,"white",1,0,"oficial",2024-10-20
31,"dark",0,0,"oficial",2024-10-20
32,"white",1,1,"oficial",2024-10-20
32,"dark",0,1,"oficial",2024-10-20
33,"white",1,0,"oficial",2024-10-20
33,"dark",0,0,"oficial",2024-10-20
34,"white",0,1,"oficial",2024-10-20
34,"dark",1,1,"oficial",2024-10-20
35,"white",1,0,"oficial",2024-10-20
35,"dark",0,0,"oficial",2024-10-20
36,"white",0,1,"oficial",2024-10-20
36,"dark",1,1,"oficial",2024-10-20
37,"white",1,0,"oficial",2024-10-20
37,"dark",0,0,"oficial",2024-10-20
38,"white",0,0,"oficial",2024-10-20
38,"dark",1,0,"oficial",2024-10-20
39,"white",1,1,"oficial",2024-10-20
39,"dark",0,1,"oficial",2024-10-20
40,"white",1,0,"oficial",2024-10-20
40,"dark",0,0,"oficial",2024-10-20
41,"white",0,1,"oficial",2024-10-20
41,"dark",1,1,"oficial",2024-10-20
42,"white",0,1,"oficial",2024-10-20
42,"dark",1,1,"oficial",2024-10-20
43,"white",1,0,"oficial",2024-10-20
43,"dark",0,0,"oficial",2024-10-20
44,"white",1,1,"oficial",2024-10-20
44,"dark",0,1,"oficial",2024-10-20
45,"white",1,0,"oficial",2024-10-20
45,"dark",0,0,"oficial",2024-10-20
46,"white",0,1,"oficial",2024-10-20
46,"dark",1,1,"oficial",2024-10-20
47,"white",1,1,"oficial",2024-10-20
47,"dark",0,1,"oficial",2024-10-20
48,"white",1,0,"oficial",2024-10-20
48,"dark",0,0,"oficial",2024-10-20
